country_code,gender,year,urban_population
CHN,MA,2006,25.509
JPN,MA,2006,44.116745
PHL,MA,2006,22.299988
THA,MA,2006,21.362309
VNM,MA,2006,14.672028
GBR,MA,2006,39.852097
USA,MA,2006,39.4455
ARE,MA,2006,59.50012
SGP,MA,2006,49.34042
MMR,MA,2006,15.266411
MYS,MA,2006,34.231655
AUS,FE,2007,44.683987
CHN,FE,2007,23.717001
JPN,FE,2007,46.40566
PHL,FE,2007,22.954926
THA,FE,2007,22.71769
VNM,FE,2007,15.720911
GBR,FE,2007,41.450367
USA,FE,2007,41.32703
ARE,FE,2007,24.555792
SGP,FE,2007,50.65958
MMR,FE,2007,16.138723
MYS,FE,2007,36.682583
AUS,MA,2007,44.05017
CHN,MA,2007,25.509
JPN,MA,2007,44.116745
PHL,MA,2007,22.299988
THA,MA,2007,21.362309
VNM,MA,2007,14.672028
GBR,MA,2007,39.852097
USA,MA,2007,39.4455
ARE,MA,2007,59.50012
SGP,MA,2007,49.34042
MMR,MA,2007,15.266411
MYS,MA,2007,34.231655
AUS,FE,2008,44.683987
CHN,FE,2008,23.717001
JPN,FE,2008,46.40566
PHL,FE,2008,22.954926
THA,FE,2008,22.71769
VNM,FE,2008,15.720911
GBR,FE,2008,41.450367
USA,FE,2008,41.32703
ARE,FE,2008,24.555792
SGP,FE,2008,50.65958
MMR,FE,2008,16.138723
MYS,FE,2008,36.682583
AUS,MA,2008,44.05017
CHN,MA,2008,25.509
JPN,MA,2008,44.116745
PHL,MA,2008,22.299988
THA,MA,2008,21.362309
VNM,MA,2008,14.672028
GBR,MA,2008,39.852097
USA,MA,2008,39.4455
ARE,MA,2008,59.50012
SGP,MA,2008,49.34042
MMR,MA,2008,15.266411
MYS,MA,2008,34.231655
AUS,FE,2009,44.683987
CHN,FE,2009,23.717001
JPN,FE,2009,46.40566
PHL,FE,2009,22.954926
THA,FE,2009,22.71769
VNM,FE,2009,15.720911
GBR,FE,2009,41.450367
USA,FE,2009,41.32703
ARE,FE,2009,24.555792
SGP,FE,2009,50.65958
MMR,FE,2009,16.138723
MYS,FE,2009,36.682583
AUS,MA,2009,44.05017
CHN,MA,2009,25.509
JPN,MA,2009,44.116745
PHL,MA,2009,22.299988
THA,MA,2009,21.362309
VNM,MA,2009,14.672028
GBR,MA,2009,39.852097
USA,MA,2009,39.4455
ARE,MA,2009,59.50012
SGP,MA,2009,49.34042
MMR,MA,2009,15.266411
MYS,MA,2009,34.231655
AUS,FE,2010,44.683987
CHN,FE,2010,23.717001
JPN,FE,2010,46.40566
PHL,FE,2010,22.954926
THA,FE,2010,22.71769
VNM,FE,2010,15.720911
GBR,FE,2010,41.450367
USA,FE,2010,41.32703
ARE,FE,2010,24.555792
SGP,FE,2010,50.65958
MMR,FE,2010,16.138723
MYS,FE,2010,36.682583
AUS,MA,2010,44.05017
CHN,MA,2010,25.509
JPN,MA,2010,44.116745
PHL,MA,2010,22.299988
THA,MA,2010,21.362309
VNM,MA,2010,14.672028
GBR,MA,2010,39.852097
USA,MA,2010,39.4455
ARE,MA,2010,59.50012
SGP,MA,2010,49.34042
MMR,MA,2010,15.266411
MYS,MA,2010,34.231655
AUS,FE,2011,45.19689
CHN,FE,2011,26.758738
JPN,FE,2011,48.02908
PHL,FE,2011,22.540592
THA,FE,2011,25.937685
VNM,FE,2011,17.339859
GBR,FE,2011,41.967922
USA,FE,2011,41.700012
ARE,FE,2011,25.90311
SGP,FE,2011,50.613987
MMR,FE,2011,17.522709
MYS,FE,2011,38.60559
AUS,MA,2011,44.22707
CHN,MA,2011,28.855291
JPN,MA,2011,45.46874
PHL,MA,2011,21.832363
THA,MA,2011,24.436201
VNM,MA,2011,16.252972
GBR,MA,2011,40.62402
USA,MA,2011,39.917633
ARE,MA,2011,59.63667
SGP,MA,2011,49.386013
MMR,MA,2011,16.575584
MYS,MA,2011,36.099964
AUS,FE,2012,45.19689
CHN,FE,2012,26.758738
JPN,FE,2012,48.02908
PHL,FE,2012,22.540592
THA,FE,2012,25.937685
VNM,FE,2012,17.339859
GBR,FE,2012,41.967922
USA,FE,2012,41.700012
ARE,FE,2012,25.90311
SGP,FE,2012,50.613987
MMR,FE,2012,17.522709
MYS,FE,2012,38.60559
AUS,MA,2012,44.22707
CHN,MA,2012,28.855291
JPN,MA,2012,45.46874
PHL,MA,2012,21.832363
THA,MA,2012,24.436201
VNM,MA,2012,16.252972
GBR,MA,2012,40.62402
USA,MA,2012,39.917633
ARE,MA,2012,59.63667
SGP,MA,2012,49.386013
MMR,MA,2012,16.575584
MYS,MA,2012,36.099964
AUS,FE,2013,45.19689
CHN,FE,2013,26.758738
JPN,FE,2013,48.02908
PHL,FE,2013,22.540592
THA,FE,2013,25.937685
VNM,FE,2013,17.339859
GBR,FE,2013,41.967922
USA,FE,2013,41.700012
ARE,FE,2013,25.90311
SGP,FE,2013,50.613987
MMR,FE,2013,17.522709
MYS,FE,2013,38.60559
AUS,MA,2013,44.22707
CHN,MA,2013,28.855291
JPN,MA,2013,45.46874
PHL,MA,2013,21.832363
THA,MA,2013,24.436201
VNM,MA,2013,16.252972
GBR,MA,2013,40.62402
USA,MA,2013,39.917633
ARE,MA,2013,59.63667
SGP,MA,2013,49.386013
MMR,MA,2013,16.575584
MYS,MA,2013,36.099964
AUS,FE,2014,45.19689
CHN,FE,2014,26.758738
JPN,FE,2014,48.02908
PHL,FE,2014,22.540592
THA,FE,2014,25.937685
VNM,FE,2014,17.339859
GBR,FE,2014,41.967922
USA,FE,2014,41.700012
ARE,FE,2014,25.90311
SGP,FE,2014,50.613987
MMR,FE,2014,17.522709
MYS,FE,2014,38.60559
AUS,MA,2014,44.22707
CHN,MA,2014,28.855291
JPN,MA,2014,45.46874
PHL,MA,2014,21.832363
THA,MA,2014,24.436201
VNM,MA,2014,16.252972
GBR,MA,2014,40.62402
USA,MA,2014,39.917633
ARE,MA,2014,59.63667
SGP,MA,2014,49.386013
MMR,MA,2014,16.575584
MYS,MA,2014,36.099964
AUS,FE,2015,45.19689
CHN,FE,2015,26.758738
JPN,FE,2015,48.02908
PHL,FE,2015,22.540592
THA,FE,2015,25.937685
VNM,FE,2015,17.339859
GBR,FE,2015,41.967922
USA,FE,2015,41.700012
ARE,FE,2015,25.90311
SGP,FE,2015,50.613987
MMR,FE,2015,17.522709
MYS,FE,2015,38.60559
AUS,MA,2015,44.22707
CHN,MA,2015,28.855291
JPN,MA,2015,45.46874
PHL,MA,2015,21.832363
THA,MA,2015,24.436201
VNM,MA,2015,16.252972
GBR,MA,2015,40.62402
USA,MA,2015,39.917633
ARE,MA,2015,59.63667
SGP,MA,2015,49.386013
MMR,MA,2015,16.575584
MYS,MA,2015,36.099964
AUS,FE,2016,45.19689
CHN,FE,2016,26.758738
JPN,FE,2016,48.02908
PHL,FE,2016,22.540592
THA,FE,2016,25.937685
VNM,FE,2016,17.339859
GBR,FE,2016,41.967922
USA,FE,2016,41.700012
ARE,FE,2016,25.90311
SGP,FE,2016,50.613987
MMR,FE,2016,17.522709
MYS,FE,2016,38.60559
AUS,MA,2016,44.22707
CHN,MA,2016,28.855291
JPN,MA,2016,45.46874
PHL,MA,2016,21.832363
THA,MA,2016,24.436201
VNM,MA,2016,16.252972
GBR,MA,2016,40.62402
USA,MA,2016,39.917633
ARE,MA,2016,59.63667
SGP,MA,2016,49.386013
MMR,MA,2016,16.575584
MYS,MA,2016,36.099964
AUS,FE,2017,45.19689
CHN,FE,2017,26.758738
JPN,FE,2017,48.02908
PHL,FE,2017,22.540592
THA,FE,2017,25.937685
VNM,FE,2017,17.339859
GBR,FE,2017,41.967922
USA,FE,2017,41.700012
ARE,FE,2017,25.90311
SGP,FE,2017,50.613987
MMR,FE,2017,17.522709
MYS,FE,2017,38.60559
AUS,MA,2017,44.22707
CHN,MA,2017,28.855291
JPN,MA,2017,45.46874
PHL,MA,2017,21.832363
THA,MA,2017,24.436201
VNM,MA,2017,16.252972
GBR,MA,2017,40.62402
USA,MA,2017,39.917633
ARE,MA,2017,59.63667
SGP,MA,2017,49.386013
MMR,MA,2017,16.575584
MYS,MA,2017,36.099964
AUS,FE,2018,45.19689
CHN,FE,2018,26.758738
JPN,FE,2018,48.02908
PHL,FE,2018,22.540592
THA,FE,2018,25.937685
VNM,FE,2018,17.339859
GBR,FE,2018,41.967922
USA,FE,2018,41.700012
ARE,FE,2018,25.90311
SGP,FE,2018,50.613987
MMR,FE,2018,17.522709
MYS,FE,2018,38.60559
AUS,MA,2018,44.22707
CHN,MA,2018,28.855291
JPN,MA,2018,45.46874
PHL,MA,2018,21.832363
THA,MA,2018,24.436201
VNM,MA,2018,16.252972
GBR,MA,2018,40.62402
USA,MA,2018,39.917633
ARE,MA,2018,59.63667
SGP,MA,2018,49.386013
MMR,MA,2018,16.575584
MYS,MA,2018,36.099964
AUS,FE,2019,45.19689
CHN,FE,2019,26.758738
JPN,FE,2019,48.02908
PHL,FE,2019,22.540592
THA,FE,2019,25.937685
VNM,FE,2019,17.339859
GBR,FE,2019,41.967922
USA,FE,2019,41.700012
ARE,FE,2019,25.90311
SGP,FE,2019,50.613987
