country_code,gender,year,debit
ARE,FE,2012,56.8418808
SGP,FE,2012,88.66431427
MMR,FE,2012,0.931699276
MYS,FE,2012,38.42628479
AUS,MA,2012,86.67647552
CHN,MA,2012,50.04776001
JPN,MA,2012,84.84548187
PHL,MA,2012,15.37672615
THA,MA,2012,58.41292191
VNM,MA,2012,24.25023079
GBR,MA,2012,97.61092377
USA,MA,2012,76.10047913
ARE,MA,2012,84.69716644
SGP,MA,2012,90.20836639
MMR,MA,2012,2.539216995
MYS,MA,2012,43.65465927
AUS,FE,2013,90.91926575
CHN,FE,2013,46.52581024
JPN,FE,2013,90.96840668
PHL,FE,2013,25.34725571
THA,FE,2013,51.57604218
VNM,FE,2013,28.65651321
GBR,FE,2013,95.18717957
USA,FE,2013,76.3660965
ARE,FE,2013,56.8418808
SGP,FE,2013,88.66431427
MMR,FE,2013,0.931699276
MYS,FE,2013,38.42628479
AUS,MA,2013,86.67647552
CHN,MA,2013,50.04776001
JPN,MA,2013,84.84548187
PHL,MA,2013,15.37672615
THA,MA,2013,58.41292191
VNM,MA,2013,24.25023079
GBR,MA,2013,97.61092377
USA,MA,2013,76.10047913
ARE,MA,2013,84.69716644
SGP,MA,2013,90.20836639
MMR,MA,2013,2.539216995
MYS,MA,2013,43.65465927
AUS,FE,2014,90.91926575
CHN,FE,2014,46.52581024
JPN,FE,2014,90.96840668
PHL,FE,2014,25.34725571
THA,FE,2014,51.57604218
VNM,FE,2014,28.65651321
GBR,FE,2014,95.18717957
USA,FE,2014,76.3660965
ARE,FE,2014,56.8418808
SGP,FE,2014,88.66431427
MMR,FE,2014,0.931699276
MYS,FE,2014,38.42628479
AUS,MA,2014,86.67647552
CHN,MA,2014,50.04776001
JPN,MA,2014,84.84548187
PHL,MA,2014,15.37672615
THA,MA,2014,58.41292191
VNM,MA,2014,24.25023079
GBR,MA,2014,97.61092377
USA,MA,2014,76.10047913
ARE,MA,2014,84.69716644
SGP,MA,2014,90.20836639
MMR,MA,2014,2.539216995
MYS,MA,2014,43.65465927
AUS,FE,2015,90.88397217
CHN,FE,2015,63.10500336
JPN,FE,2015,88.77148438
PHL,FE,2015,18.73773384
THA,FE,2015,58.61133957
VNM,FE,2015,27.34769821
GBR,FE,2015,91.34542847
USA,FE,2015,79.08667755
ARE,FE,2015,71.57443237
SGP,FE,2015,91.6592865
MMR,FE,2015,4.163137913
MYS,FE,2015,67.45070648
AUS,MA,2015,89.00618744
CHN,MA,2015,70.28309631
JPN,MA,2015,84.85359192
PHL,MA,2015,23.34905243
THA,MA,2015,61.27391052
VNM,MA,2015,26.07479477
GBR,MA,2015,91.56806183
USA,MA,2015,81.40048218
ARE,MA,2015,87.13478088
SGP,MA,2015,92.05078125
MMR,MA,2015,5.693940163
MYS,MA,2015,79.42333221
AUS,FE,2016,90.88397217
CHN,FE,2016,63.10500336
JPN,FE,2016,88.77148438
PHL,FE,2016,18.73773384
THA,FE,2016,58.61133957
VNM,FE,2016,27.34769821
GBR,FE,2016,91.34542847
USA,FE,2016,79.08667755
ARE,FE,2016,71.57443237
SGP,FE,2016,91.6592865
MMR,FE,2016,4.163137913
MYS,FE,2016,67.45070648
AUS,MA,2016,89.00618744
CHN,MA,2016,70.28309631
JPN,MA,2016,84.85359192
PHL,MA,2016,23.34905243
THA,MA,2016,61.27391052
VNM,MA,2016,26.07479477
GBR,MA,2016,91.56806183
USA,MA,2016,81.40048218
ARE,MA,2016,87.13478088
SGP,MA,2016,92.05078125
MMR,MA,2016,5.693940163
MYS,MA,2016,79.42333221
AUS,FE,2017,90.88397217
CHN,FE,2017,63.10500336
JPN,FE,2017,88.77148438
PHL,FE,2017,18.73773384
THA,FE,2017,58.61133957
VNM,FE,2017,27.34769821
GBR,FE,2017,91.34542847
USA,FE,2017,79.08667755
ARE,FE,2017,71.57443237
SGP,FE,2017,91.6592865
MMR,FE,2017,4.163137913
MYS,FE,2017,67.45070648
AUS,MA,2017,89.00618744
CHN,MA,2017,70.28309631
JPN,MA,2017,84.85359192
PHL,MA,2017,23.34905243
THA,MA,2017,61.27391052
VNM,MA,2017,26.07479477
GBR,MA,2017,91.56806183
USA,MA,2017,81.40048218
ARE,MA,2017,87.13478088
SGP,MA,2017,92.05078125
MMR,MA,2017,5.693940163
MYS,MA,2017,79.42333221
AUS,FE,2018,90.88397217
CHN,FE,2018,63.10500336
JPN,FE,2018,88.77148438
PHL,FE,2018,18.73773384
THA,FE,2018,58.61133957
VNM,FE,2018,27.34769821
GBR,FE,2018,91.34542847
USA,FE,2018,79.08667755
ARE,FE,2018,71.57443237
SGP,FE,2018,91.6592865
MMR,FE,2018,4.163137913
MYS,FE,2018,67.45070648
AUS,MA,2018,89.00618744
CHN,MA,2018,70.28309631
JPN,MA,2018,84.85359192
PHL,MA,2018,23.34905243
THA,MA,2018,61.27391052
VNM,MA,2018,26.07479477
GBR,MA,2018,91.56806183
USA,MA,2018,81.40048218
ARE,MA,2018,87.13478088
SGP,MA,2018,92.05078125
MMR,MA,2018,5.693940163
MYS,MA,2018,79.42333221
AUS,FE,2019,90.88397217
CHN,FE,2019,63.10500336
JPN,FE,2019,88.77148438
PHL,FE,2019,18.73773384
THA,FE,2019,58.61133957
VNM,FE,2019,27.34769821
GBR,FE,2019,91.34542847
USA,FE,2019,79.08667755
ARE,FE,2019,71.57443237
SGP,FE,2019,91.6592865
MMR,FE,2019,4.163137913
MYS,FE,2019,67.45070648
AUS,MA,2019,89.00618744
CHN,MA,2019,70.28309631
JPN,MA,2019,84.85359192
PHL,MA,2019,23.34905243
THA,MA,2019,61.27391052
VNM,MA,2019,26.07479477
GBR,MA,2019,91.56806183
USA,MA,2019,81.40048218
ARE,MA,2019,87.13478088
SGP,MA,2019,92.05078125
MMR,MA,2019,5.693940163
MYS,MA,2019,79.42333221
AUS,FE,2020,90.88397217
CHN,FE,2020,63.10500336
JPN,FE,2020,88.77148438
PHL,FE,2020,18.73773384
THA,FE,2020,58.61133957
VNM,FE,2020,27.34769821
GBR,FE,2020,91.34542847
USA,FE,2020,79.08667755
ARE,FE,2020,71.57443237
SGP,FE,2020,91.6592865
MMR,FE,2020,4.163137913
MYS,FE,2020,67.45070648
AUS,MA,2020,89.00618744
CHN,MA,2020,70.28309631
JPN,MA,2020,84.85359192
PHL,MA,2020,23.34905243
THA,MA,2020,61.27391052
