country_code,gender,year,employers
ARE,MA,2010,3.19
SGP,MA,2010,6.88
MMR,MA,2010,3.99
MYS,MA,2010,4.97
AUS,FE,2010,4.76
CHN,FE,2010,0.73
JPN,FE,2010,0.93
PHL,FE,2010,2.32
THA,FE,2010,1.51
VNM,FE,2010,2.22
GBR,FE,2010,1.46
USA,FE,2010,1.81
ARE,FE,2010,0.74
SGP,FE,2010,3.0
MMR,FE,2010,1.19
MYS,FE,2010,1.6
AUS,MA,2011,8.09
CHN,MA,2011,2.6
JPN,MA,2011,3.28
PHL,MA,2011,4.54
THA,MA,2011,3.25
VNM,MA,2011,3.86
GBR,MA,2011,3.54
USA,MA,2011,3.23
ARE,MA,2011,3.13
SGP,MA,2011,6.88
MMR,MA,2011,4.0
MYS,MA,2011,4.7
AUS,FE,2011,4.59
CHN,FE,2011,0.77
JPN,FE,2011,0.91
PHL,FE,2011,2.24
THA,FE,2011,1.19
VNM,FE,2011,1.84
GBR,FE,2011,1.34
USA,FE,2011,1.77
ARE,FE,2011,0.82
SGP,FE,2011,3.23
MMR,FE,2011,1.21
MYS,FE,2011,1.63
AUS,MA,2012,8.01
CHN,MA,2012,2.63
JPN,MA,2012,3.23
PHL,MA,2012,4.37
THA,MA,2012,3.22
VNM,MA,2012,3.64
GBR,MA,2012,3.48
USA,MA,2012,3.12
ARE,MA,2012,3.07
SGP,MA,2012,7.68
MMR,MA,2012,4.05
MYS,MA,2012,4.94
AUS,FE,2012,4.38
CHN,FE,2012,0.81
JPN,FE,2012,0.87
PHL,FE,2012,2.28
THA,FE,2012,1.37
VNM,FE,2012,1.67
GBR,FE,2012,1.42
USA,FE,2012,1.8
ARE,FE,2012,0.88
SGP,FE,2012,3.64
MMR,FE,2012,1.25
MYS,FE,2012,1.52
AUS,MA,2013,7.97
CHN,MA,2013,2.67
JPN,MA,2013,3.19
PHL,MA,2013,4.17
THA,MA,2013,3.61
VNM,MA,2013,3.4
GBR,MA,2013,3.37
USA,MA,2013,3.0
ARE,MA,2013,3.03
SGP,MA,2013,7.74
MMR,MA,2013,4.1
MYS,MA,2013,5.16
AUS,FE,2013,4.34
CHN,FE,2013,0.85
JPN,FE,2013,0.87
PHL,FE,2013,2.04
THA,FE,2013,1.49
VNM,FE,2013,1.5
GBR,FE,2013,1.43
USA,FE,2013,1.79
ARE,FE,2013,0.94
SGP,FE,2013,4.1
MMR,FE,2013,1.3
MYS,FE,2013,1.68
AUS,MA,2014,7.98
CHN,MA,2014,2.72
JPN,MA,2014,3.06
PHL,MA,2014,4.04
THA,MA,2014,4.08
VNM,MA,2014,2.9
GBR,MA,2014,3.51
USA,MA,2014,2.94
ARE,MA,2014,2.99
SGP,MA,2014,6.82
MMR,MA,2014,4.15
MYS,MA,2014,5.03
AUS,FE,2014,4.3
CHN,FE,2014,0.9
JPN,FE,2014,0.87
PHL,FE,2014,1.92
THA,FE,2014,1.64
