country_code,gender,year,credit
ARE,MA,2009,59.50011846
SGP,MA,2009,49.34042134
MMR,MA,2009,15.2664112
MYS,MA,2009,34.2316534
AUS,FE,2010,44.683985
CHN,FE,2010,23.7170012
JPN,FE,2010,46.40565986
PHL,FE,2010,22.95492487
THA,FE,2010,22.71768923
VNM,FE,2010,15.72091143
GBR,FE,2010,41.45036815
USA,FE,2010,41.32703061
ARE,FE,2010,24.55579247
SGP,FE,2010,50.65957866
MMR,FE,2010,16.13872254
MYS,FE,2010,36.68258179
AUS,MA,2010,44.05016961
CHN,MA,2010,25.50900044
JPN,MA,2010,44.11674637
PHL,MA,2010,22.29998716
THA,MA,2010,21.36230836
VNM,MA,2010,14.67202713
GBR,MA,2010,39.85209532
USA,MA,2010,39.4455013
ARE,MA,2010,59.50011846
SGP,MA,2010,49.34042134
MMR,MA,2010,15.2664112
MYS,MA,2010,34.2316534
AUS,FE,2011,45.19688989
CHN,FE,2011,26.75873849
JPN,FE,2011,48.02908082
PHL,FE,2011,22.54059311
THA,FE,2011,25.93768546
VNM,FE,2011,17.33985822
GBR,FE,2011,41.96792181
USA,FE,2011,41.70001261
ARE,FE,2011,25.9031113
SGP,FE,2011,50.61398825
MMR,FE,2011,17.52270881
MYS,FE,2011,38.60559199
AUS,MA,2011,44.22707132
CHN,MA,2011,28.85529047
JPN,MA,2011,45.46873891
PHL,MA,2011,21.8323625
THA,MA,2011,24.43620178
VNM,MA,2011,16.25297154
GBR,MA,2011,40.62402105
USA,MA,2011,39.91763219
ARE,MA,2011,59.63666736
SGP,MA,2011,49.38601175
MMR,MA,2011,16.57558526
MYS,MA,2011,36.09996411
AUS,FE,2012,45.19688989
CHN,FE,2012,26.75873849
JPN,FE,2012,48.02908082
PHL,FE,2012,22.54059311
THA,FE,2012,25.93768546
VNM,FE,2012,17.33985822
GBR,FE,2012,41.96792181
USA,FE,2012,41.70001261
ARE,FE,2012,25.9031113
SGP,FE,2012,50.61398825
MMR,FE,2012,17.52270881
MYS,FE,2012,38.60559199
AUS,MA,2012,44.22707132
CHN,MA,2012,28.85529047
JPN,MA,2012,45.46873891
PHL,MA,2012,21.8323625
THA,MA,2012,24.43620178
VNM,MA,2012,16.25297154
GBR,MA,2012,40.62402105
USA,MA,2012,39.91763219
ARE,MA,2012,59.63666736
SGP,MA,2012,49.38601175
MMR,MA,2012,16.57558526
MYS,MA,2012,36.09996411
AUS,FE,2013,45.19688989
CHN,FE,2013,26.75873849
JPN,FE,2013,48.02908082
PHL,FE,2013,22.54059311
THA,FE,2013,25.93768546
VNM,FE,2013,17.33985822
GBR,FE,2013,41.96792181
USA,FE,2013,41.70001261
ARE,FE,2013,25.9031113
SGP,FE,2013,50.61398825
MMR,FE,2013,17.52270881
MYS,FE,2013,38.60559199
AUS,MA,2013,44.22707132
CHN,MA,2013,28.85529047
JPN,MA,2013,45.46873891
PHL,MA,2013,21.8323625
THA,MA,2013,24.43620178
VNM,MA,2013,16.25297154
GBR,MA,2013,40.62402105
USA,MA,2013,39.91763219
ARE,MA,2013,59.63666736
SGP,MA,2013,49.38601175
MMR,MA,2013,16.57558526
MYS,MA,2013,36.09996411
AUS,FE,2014,45.19688989
CHN,FE,2014,26.75873849
JPN,FE,2014,48.02908082
PHL,FE,2014,22.54059311
THA,FE,2014,25.93768546
VNM,FE,2014,17.33985822
GBR,FE,2014,41.96792181
USA,FE,2014,41.70001261
ARE,FE,2014,25.9031113
SGP,FE,2014,50.61398825
MMR,FE,2014,17.52270881
MYS,FE,2014,38.60559199
AUS,MA,2014,44.22707132
CHN,MA,2014,28.85529047
JPN,MA,2014,45.46873891
PHL,MA,2014,21.8323625
THA,MA,2014,24.43620178
VNM,MA,2014,16.25297154
GBR,MA,2014,40.62402105
USA,MA,2014,39.91763219
ARE,MA,2014,59.63666736
SGP,MA,2014,49.38601175
MMR,MA,2014,16.57558526
MYS,MA,2014,36.09996411
AUS,FE,2015,45.19688989
CHN,FE,2015,26.75873849
JPN,FE,2015,48.02908082
PHL,FE,2015,22.54059311
THA,FE,2015,25.93768546
VNM,FE,2015,17.33985822
GBR,FE,2015,41.96792181
USA,FE,2015,41.70001261
ARE,FE,2015,25.9031113
SGP,FE,2015,50.61398825
MMR,FE,2015,17.52270881
MYS,FE,2015,38.60559199
AUS,MA,2015,44.22707132
CHN,MA,2015,28.85529047
JPN,MA,2015,45.46873891
PHL,MA,2015,21.8323625
THA,MA,2015,24.43620178
VNM,MA,2015,16.25297154
GBR,MA,2015,40.62402105
USA,MA,2015,39.91763219
ARE,MA,2015,59.63666736
SGP,MA,2015,49.38601175
MMR,MA,2015,16.57558526
MYS,MA,2015,36.09996411
AUS,FE,2016,45.19688989
CHN,FE,2016,26.75873849
JPN,FE,2016,48.02908082
PHL,FE,2016,22.54059311
THA,FE,2016,25.93768546
VNM,FE,2016,17.33985822
GBR,FE,2016,41.96792181
USA,FE,2016,41.70001261
ARE,FE,2016,25.9031113
SGP,FE,2016,50.61398825
MMR,FE,2016,17.52270881
MYS,FE,2016,38.60559199
AUS,MA,2016,44.22707132
CHN,MA,2016,28.85529047
JPN,MA,2016,45.46873891
PHL,MA,2016,21.8323625
THA,MA,2016,24.43620178
VNM,MA,2016,16.25297154
GBR,MA,2016,40.62402105
USA,MA,2016,39.91763219
ARE,MA,2016,59.63666736
SGP,MA,2016,49.38601175
MMR,MA,2016,16.57558526
MYS,MA,2016,36.09996411
AUS,FE,2017,45.19688989
CHN,FE,2017,26.75873849
JPN,FE,2017,48.02908082
PHL,FE,2017,22.54059311
THA,FE,2017,25.93768546
VNM,FE,2017,17.33985822
GBR,FE,2017,41.96792181
USA,FE,2017,41.70001261
ARE,FE,2017,25.9031113
SGP,FE,2017,50.61398825
MMR,FE,2017,17.52270881
MYS,FE,2017,38.60559199
AUS,MA,2017,44.22707132
CHN,MA,2017,28.85529047
JPN,MA,2017,45.46873891
PHL,MA,2017,21.8323625
THA,MA,2017,24.43620178
VNM,MA,2017,16.25297154
GBR,MA,2017,40.62402105
USA,MA,2017,39.91763219
ARE,MA,2017,59.63666736
SGP,MA,2017,49.38601175
MMR,MA,2017,16.57558526
MYS,MA,2017,36.09996411
AUS,FE,2018,45.19688989
CHN,FE,2018,26.75873849
JPN,FE,2018,48.02908082
PHL,FE,2018,22.54059311
THA,FE,2018,25.93768546
VNM,FE,2018,17.33985822
GBR,FE,2018,41.96792181
USA,FE,2018,41.70001261
ARE,FE,2018,25.9031113
SGP,FE,2018,50.61398825
MMR,FE,2018,17.52270881
MYS,FE,2018,38.60559199
AUS,MA,2018,44.22707132
CHN,MA,2018,28.85529047
JPN,MA,2018,45.46873891
PHL,MA,2018,21.8323625
THA,MA,2018,24.43620178
VNM,MA,2018,16.25297154
GBR,MA,2018,40.62402105
USA,MA,2018,39.91763219
ARE,MA,2018,59.63666736
SGP,MA,2018,49.38601175
MMR,MA,2018,16.57558526
MYS,MA,2018,36.09996411
AUS,FE,2019,45.19688989
CHN,FE,2019,26.75873849
JPN,FE,2019,48.02908082
PHL,FE,2019,22.54059311
THA,FE,2019,25.93768546
VNM,FE,2019,17.33985822
GBR,FE,2019,41.96792181
USA,FE,2019,41.70001261
ARE,FE,2019,25.9031113
SGP,FE,2019,50.61398825
MMR,FE,2019,17.52270881
MYS,FE,2019,38.60559199
AUS,MA,2019,44.22707132
CHN,MA,2019,28.85529047
JPN,MA,2019,45.46873891
PHL,MA,2019,21.8323625
