country_code,gender,year,suicide
USA,MA,2009,20
ARE,MA,2009,10.3
SGP,MA,2009,14.4
MMR,MA,2009,5.7
MYS,MA,2009,7
AUS,FE,2010,5.7
PHL,FE,2010,1.3
THA,FE,2010,3.6
VNM,FE,2010,4.2
GBR,FE,2010,3.7
USA,FE,2010,5.8
ARE,FE,2010,3.3
SGP,FE,2010,6.7
MMR,FE,2010,1.5
MYS,FE,2010,2.1
AUS,MA,2010,17.7
PHL,MA,2010,3.4
THA,MA,2010,12.7
VNM,MA,2010,9.8
GBR,MA,2010,12.1
USA,MA,2010,20.5
ARE,MA,2010,10.1
SGP,MA,2010,12.8
MMR,MA,2010,5.5
MYS,MA,2010,6.8
AUS,FE,2011,5.7
PHL,FE,2011,1.5
THA,FE,2011,3.4
VNM,FE,2011,4.3
GBR,FE,2011,3.9
USA,FE,2011,6
ARE,FE,2011,3.2
SGP,FE,2011,6.7
MMR,FE,2011,1.5
MYS,FE,2011,2.1
AUS,MA,2011,16.8
PHL,MA,2011,4
THA,MA,2011,12.7
VNM,MA,2011,10.1
GBR,MA,2011,12.8
USA,MA,2011,20.9
ARE,MA,2011,9.9
SGP,MA,2011,12.2
MMR,MA,2011,5.5
MYS,MA,2011,6.9
AUS,FE,2012,6.4
PHL,FE,2012,1.3
THA,FE,2012,3.3
VNM,FE,2012,4.3
GBR,FE,2012,3.7
USA,FE,2012,6.1
ARE,FE,2012,3.2
SGP,FE,2012,8.3
MMR,FE,2012,1.3
MYS,FE,2012,2.1
AUS,MA,2012,17.1
PHL,MA,2012,3.5
THA,MA,2012,12.6
VNM,MA,2012,10.4
GBR,MA,2012,13
USA,MA,2012,21.1
ARE,MA,2012,9.6
SGP,MA,2012,14
MMR,MA,2012,5.4
MYS,MA,2012,6.9
AUS,FE,2013,6.1
PHL,FE,2013,1.2
THA,FE,2013,3.1
VNM,FE,2013,4.4
GBR,FE,2013,3.8
USA,FE,2013,6.2
ARE,FE,2013,3.2
SGP,FE,2013,6.1
MMR,FE,2013,1.3
MYS,FE,2013,2.1
AUS,MA,2013,17
PHL,MA,2013,3.5
THA,MA,2013,12
VNM,MA,2013,10.5
GBR,MA,2013,14
USA,MA,2013,21
ARE,MA,2013,9.1
SGP,MA,2013,14.1
MMR,MA,2013,5.4
MYS,MA,2013,6.6
AUS,FE,2014,6.5
PHL,FE,2014,1
THA,FE,2014,3.1
VNM,FE,2014,4.5
GBR,FE,2014,4
USA,FE,2014,6.5
ARE,FE,2014,3.1
SGP,FE,2014,5.7
MMR,FE,2014,1.3
MYS,FE,2014,2.1
AUS,MA,2014,18.9
PHL,MA,2014,3.5
THA,MA,2014,12.7
VNM,MA,2014,10.8
GBR,MA,2014,13.4
USA,MA,2014,21.6
ARE,MA,2014,8.6
SGP,MA,2014,14.3
MMR,MA,2014,5.4
MYS,MA,2014,7
AUS,FE,2015,6.8
PHL,FE,2015,1.1
THA,FE,2015,3
VNM,FE,2015,4.5
GBR,FE,2015,4.4
USA,FE,2015,6.8
ARE,FE,2015,3
SGP,FE,2015,5.8
MMR,FE,2015,1.2
MYS,FE,2015,2.2
AUS,MA,2015,19.7
PHL,MA,2015,3.5
THA,MA,2015,13.3
VNM,MA,2015,10.8
GBR,MA,2015,13.4
USA,MA,2015,22.2
ARE,MA,2015,7.9
SGP,MA,2015,11.9
MMR,MA,2015,5.3
MYS,MA,2015,7.3
AUS,FE,2016,6.4
PHL,FE,2016,1.1
THA,FE,2016,3
VNM,FE,2016,4.6
GBR,FE,2016,4.1
USA,FE,2016,7
ARE,FE,2016,2.9
SGP,FE,2016,6.4
MMR,FE,2016,1.2
MYS,FE,2016,2.2
AUS,MA,2016,18
PHL,MA,2016,3.4
THA,MA,2016,14.2
VNM,MA,2016,10.8
GBR,MA,2016,13
USA,MA,2016,23.5
ARE,MA,2016,7.3
SGP,MA,2016,11.5
MMR,MA,2016,5.3
MYS,MA,2016,7.8
AUS,FE,2017,6.9
PHL,FE,2017,1.1
THA,FE,2017,3
VNM,FE,2017,4.6
GBR,FE,2017,4.1
USA,FE,2017,7.1
ARE,FE,2017,2.8
SGP,FE,2017,6.2
MMR,FE,2017,1.1
MYS,FE,2017,2.2
AUS,MA,2017,19.5
PHL,MA,2017,3.3
THA,MA,2017,14.1
VNM,MA,2017,10.8
GBR,MA,2017,12.5
USA,MA,2017,24.9
ARE,MA,2017,6.8
SGP,MA,2017,11.5
MMR,MA,2017,5
MYS,MA,2017,8.3
AUS,FE,2018,6.2
PHL,FE,2018,1.1
THA,FE,2018,3
VNM,FE,2018,4.6
